Weight class,fighter1,fighter2,outcome,F1_Str,F2_Str,F1_Td,F2_Td,F1_Kd,F2_Kd,F1_Sub,F2_Sub
Women's Strawweight,Elise Reed,Jessica Penne,fighter1,117,54,0,1,0,0,0,0
Women's Strawweight,Melissa Martinez,Alice Ardelean,fighter1,72,92,0,0,0,0,0,0
Heavyweight,Austen Lane,Robelis Despaigne,fighter1,23,31,3,0,0,0,0,0
Flyweight,Brandon Royval,Tatsuro Taira,fighter1,124,42,3,6,0,0,3,1
Middleweight,JunYong Park,Brad Tavares,fighter1,99,65,2,0,0,0,0,0
Welterweight,Chidi Njokuani,Jared Gooden,fighter1,105,20,0,2,0,0,0,1
Lightweight,Grant Dawson,Rafa Garcia,fighter1,44,5,2,0,0,0,0,0
Welterweight,Daniel Rodriguez,Alex Morono,fighter1,123,74,1,0,0,0,0,0
Flyweight,Ramazan Temirov,CJ Vergara,fighter1,23,4,0,0,3,0,0,0
Featherweight,Pat Sabatini,Jonathan Pearce,fighter1,3,2,2,0,0,0,1,0
Welterweight,Themba Gorimbo,Niko Price,fighter1,68,16,7,0,0,0,2,1
Heavyweight,Junior Tafa,Sean Sharaf,fighter1,71,53,0,1,0,0,0,0
Women's Strawweight,Julia Polastri,Cory McKenna,fighter1,88,40,0,1,0,0,0,0
Bantamweight,Cody Haddon,Dan Argueta,fighter1,140,54,2,4,0,0,0,1
Flyweight,Clayton Carpenter,Lucas Rocha,fighter1,34,17,2,0,0,0,1,0
Light Heavyweight,Alex Pereira,Khalil Rountree Jr.,fighter1,127,61,0,0,1,0,0,0
Women's Bantamweight,Julianna Pena,Raquel Pennington,fighter1,92,92,2,0,0,1,1,0
Bantamweight,Mario Bautista,Jose Aldo,fighter1,49,51,0,0,0,0,0,0
Middleweight,Roman Dolidze,Kevin Holland,fighter1,19,18,1,0,0,0,0,0
Women's Bantamweight,Kayla Harrison,Ketlen Vieira,fighter1,55,24,2,0,0,0,0,0
Welterweight,Joaquin Buckley,Stephen Thompson,fighter1,34,49,4,0,1,0,0,0
Women's Strawweight,Iasmin Lucindo,Marina Rodriguez,fighter1,30,33,3,1,0,0,0,0
Lightweight,Alexander Hernandez,Austin Hubbard,fighter1,79,63,0,0,0,0,0,0
Middleweight,Cesar Almeida,Ihor Potieria,fighter1,57,44,0,3,0,0,1,0
Light Heavyweight,Ryan Spann,Ovince Saint Preux,fighter1,9,7,0,0,0,0,1,0
Women's Strawweight,Tecia Pennington,Carla Esparza,fighter1,80,39,0,4,0,0,0,0
Welterweight,Court McGee,Tim Means,fighter1,14,5,1,0,0,0,1,0
Lightweight,Renato Moicano,Benoit Saint Denis,fighter1,50,25,1,0,0,0,0,0
Middleweight,Nassourdine Imavov,Brendan Allen,fighter1,57,30,0,1,0,0,0,0
Featherweight,William Gomis,Joanderson Brito,fighter1,43,29,0,3,0,0,0,2
Welterweight,Bryan Battle,Kevin Jousset,fighter1,97,58,0,0,0,0,0,0
Featherweight,Morgan Charriere,Gabriel Miranda,fighter1,19,11,2,1,1,0,0,0
Lightweight,Fares Ziam,Matt Frevola,fighter1,58,16,4,1,1,0,1,1
Light Heavyweight,Ion Cutelaba,Ivan Erslan,fighter1,45,39,3,1,0,0,0,0
Light Heavyweight,Oumar Sy,Da Woon Jung,fighter1,90,29,2,0,0,0,0,0
Lightweight,Ludovit Klein,Roosevelt Roberts,fighter1,45,24,2,0,0,0,0,0
Bantamweight,Taylor Lapilus,Vince Morales,fighter1,94,39,0,2,0,0,0,0
Women's Bantamweight,Ailin Perez,Daria Zhelezniakova,fighter1,7,5,2,1,0,0,1,0
Flyweight,Daniel Barez,Victor Altamirano,fighter1,67,71,0,0,1,0,0,0
Women's Bantamweight,Jacqueline Cavalcanti,Nora Cornolle,fighter1,54,54,0,1,0,0,0,0
Lightweight,Chris Duncan,Bolaji Oki,fighter1,10,28,0,2,0,0,1,0
Bantamweight,Merab Dvalishvili,Sean O'Malley,fighter1,82,47,6,0,0,0,0,0
Women's Flyweight,Valentina Shevchenko,Alexa Grasso,fighter1,45,18,8,1,0,0,0,2
Featherweight,Diego Lopes,Brian Ortega,fighter1,106,63,1,0,0,0,0,0
Lightweight,Esteban Ribovics,Daniel Zellhuber,fighter1,156,121,0,0,0,1,0,0
Flyweight,Ronaldo Rodriguez,Ode Osbourne,fighter1,35,37,1,1,0,1,0,2
Women's Bantamweight,Norma Dumont,Irene Aldana,fighter1,159,69,0,0,0,0,0,0
Lightweight,Ignacio Bahamondes,Manuel Torres,fighter1,31,20,0,0,2,0,0,0
Women's Strawweight,Ketlen Souza,Yazmin Jauregui,fighter1,21,35,0,0,1,0,1,0
Flyweight,Joshua Van,Edgar Chairez,fighter1,118,79,3,0,0,0,0,1
Bantamweight,Raul Rosas Jr.,Aoriqileng,fighter1,41,22,3,0,0,0,0,0
Welterweight,Sean Brady,Gilbert Burns,fighter1,130,47,7,1,0,0,0,0
Women's Flyweight,Natalia Silva,Jessica Andrade,fighter1,117,50,0,0,0,0,0,0
Featherweight,Steve Garcia,Kyle Nelson,fighter1,22,1,0,0,0,0,0,0
Bantamweight,Cody Durden,Matt Schnell,fighter1,34,40,0,0,0,0,1,0
Lightweight,Yanal Ashmouz,Trevor Peek,fighter1,42,55,9,0,0,0,0,0
Lightweight,Chris Padilla,Rongzhu,fighter1,68,49,0,0,0,0,0,0
Featherweight,Isaac Dulgarian,Brendon Marotte,fighter1,41,3,2,0,0,0,2,0
Flyweight,Andre Lima,Felipe dos Santos,fighter1,18,38,2,0,0,0,2,0
Featherweight,Gabriel Santos,Yizha,fighter1,76,41,2,0,1,0,0,0
Women's Strawweight,Jaqueline Amorim,Vanessa Demopoulos,fighter1,2,2,1,0,0,0,1,0
Middleweight,Andre Petroski,Dylan Budka,fighter1,23,17,3,0,0,0,0,0
Featherweight,Nathan Fletcher,Zygimantas Ramaska,fighter1,14,6,4,0,0,0,1,1
Middleweight,Caio Borralho,Jared Cannonier,fighter1,153,83,0,0,1,0,1,0
Women's Strawweight,Tabatha Ricci,Angela Hill,fighter1,101,112,3,0,0,0,0,0
Middleweight,Ryan Loder,Robert Valentin,fighter1,42,1,1,0,0,0,1,2
Featherweight,Mairon Santos,Kaan Ofli,fighter1,31,12,0,0,1,0,0,0
